,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Triệu đồng
0,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,2600.0
1,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,52.0,12.0,4.2,4850.04
2,Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,6.6,4.5,1950.08
3,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,3,2,42.0,11.0,4.0,1249.92
4,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,11.0,4.0,2150.0
5,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.0,2599.96
6,Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,11,70.0,17.0,4.0,8000.3
7,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,9.0,3.4,2480.1
8,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2,18.0,6.0,3.2,1900.08
9,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5,33.0,11.0,3.0,4499.88
10,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,11.0,3.2,2849.92
11,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,6.5,3.0,1950.0
12,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3,28.0,7.0,3.9,2800.0
13,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,4.0,7.55,3549.9
14,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2,37.0,10.0,3.7,1979.87
15,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,1,1,45.0,10.0,4.5,3199.95
16,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,11.0,3.0,4.0,1450.02
17,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,21.0,7.0,3.0,2100.0
18,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,2500.05
